Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
799.6459205,50,88,7,0,0,0,0,0,CHO,[M-H]-,800.653197,-0.239599392,-1
799.6588428,48,92,6,0,0,0,0,0,CHO,[M+Cl]-,764.6894416,-0.066516214,-1
799.667005,47,92,9,0,0,0,0,0,CHO,[M-H]-,800.6742815,-0.183531874,-1
799.678516,0,0,0,0,0,0,0,0,,[M-H]-,800.6857925,0,-1
799.6952797,49,96,5,0,0,0,0,0,CHO,[M+Cl]-,764.7258784,-0.133686416,-1
799.7032545,48,96,8,0,0,0,0,0,CHO,[M-H]-,800.710531,-0.01363613,-1
799.714593,48,97,4,1,1,0,0,0,CHON,[M+Cl]-,764.7451917,-0.099729277,-1
799.7309425,0,0,0,0,0,0,0,0,,[M-H]-,800.738219,0,-1
800.422658,44,64,10,0,1,0,0,0,CHO,[M+Cl]-,765.4532567,0.060586544,-1
800.503343,0,0,0,0,0,0,0,0,,[M-H]-,801.5106194,0,-1
800.522975,0,0,0,0,0,0,0,0,,[M-H]-,801.5302514,0,-1
800.5318926,47,76,7,0,1,0,0,0,CHO,[M+Cl]-,765.5624913,-0.041318126,-1
800.5448727,44,79,9,1,0,0,0,0,CHON,[M+Cl]-,765.5754715,0.015263035,-1
800.5527919,44,80,9,0,1,0,0,0,CHO,[M+Cl]-,765.5833906,0.259090026,-1
800.5608789,0,0,0,0,0,0,0,0,,[M-H]-,801.5681554,0,-1
800.5695002,0,0,0,0,0,0,0,0,,[M-H]-,801.5767767,0,-1
800.5764499,47,80,9,0,1,0,0,0,CHO,[M-H]-,801.5837264,-0.171393063,-1
800.589395,45,84,8,0,1,0,0,0,CHO,[M+Cl]-,765.6199937,-0.025096147,-1
800.6045279,48,83,8,1,0,0,0,0,CHON,[M-H]-,801.6118044,0.080181647,-1
800.6178172,46,87,7,1,0,0,0,0,CHON,[M+Cl]-,765.6484159,-0.211263333,-1
800.6259399,46,88,7,0,1,0,0,0,CHO,[M+Cl]-,765.6565386,-0.23324203,-1
800.6444099,0,0,0,0,0,0,0,0,,[M-H]-,801.6516863,0,-1
800.6541112,47,91,6,1,0,0,0,0,CHON,[M+Cl]-,765.6847099,-0.091712395,-1
800.6622919,47,92,6,0,1,0,0,0,CHO,[M+Cl]-,765.6928906,-0.189439644,-1
800.6718292,0,0,0,0,0,0,0,0,,[M-H]-,801.6791056,0,-1
800.6809299,0,0,0,0,0,0,0,0,,[M-H]-,801.6882063,0,-1
800.6904652,48,95,5,1,0,0,0,0,CHON,[M+Cl]-,765.721064,-0.050660853,-1
800.6989185,0,0,0,0,0,0,0,0,,[M-H]-,801.706195,0,-1
800.7084238,0,0,0,0,0,0,0,0,,[M-H]-,801.7157003,0,-1
801.3773644,46,59,10,0,0,0,1,0,CHOP,[M-H]-,802.3846409,-0.070076639,-1
801.3856494,0,0,0,0,0,0,0,0,,[M-H]-,802.3929258,0,-1
801.4197371,41,66,13,0,0,0,0,0,CHO,[M+Cl]-,766.4503358,0.008399474,-1
801.4352253,45,66,10,0,0,0,0,0,CHO,[M+Cl]-,766.4658241,-0.294492109,-1
801.4500703,0,0,0,0,0,0,0,0,,[M-H]-,802.4573468,0,-1
801.4713933,46,70,9,0,0,0,0,0,CHO,[M+Cl]-,766.501992,-0.010681759,-1
801.4795483,45,70,12,0,0,0,0,0,CHO,[M-H]-,802.4868248,-0.120964743,-1
801.5077023,47,74,8,0,0,0,0,0,CHO,[M+Cl]-,766.538301,0.089158037,-1
801.5160292,46,74,11,0,0,0,0,0,CHO,[M-H]-,802.5233057,-0.239795973,-1
801.5262253,0,0,0,0,0,0,0,0,,[M-H]-,802.5335018,0,-1
801.5353173,45,75,10,1,1,0,0,0,CHON,[M-H]-,802.5425937,-0.176035426,-1
801.544125,48,78,7,0,0,0,0,0,CHO,[M+Cl]-,766.5747237,0.040666311,-1
801.5500604,41,82,12,0,0,0,0,0,CHO,[M+Cl]-,766.5806591,-0.040417606,-1
801.5652809,45,82,9,0,0,0,0,0,CHO,[M+Cl]-,766.5958796,0.006079536,-1
801.5735453,44,82,12,0,0,0,0,0,CHO,[M-H]-,802.5808217,-0.241252217,-1
801.580404,49,82,6,0,0,0,0,0,CHO,[M+Cl]-,766.6110027,0.179627456,-1
801.5888492,48,82,9,0,0,0,0,0,CHO,[M-H]-,802.5961257,-0.300874172,-1
801.601696,46,86,8,0,0,0,0,0,CHO,[M+Cl]-,766.6322947,-0.032621564,-1
801.6167082,50,86,5,0,0,0,0,0,CHO,[M+Cl]-,766.6473069,0.285574626,-1
801.6247802,49,86,8,0,0,0,0,0,CHO,[M-H]-,802.6320567,0.26543911,-1
801.6381078,47,90,7,0,0,0,0,0,CHO,[M+Cl]-,766.6687065,-0.066884221,-1
801.6589976,0,0,0,0,0,0,0,0,,[M-H]-,802.6662741,0,-1
801.6746952,48,94,6,0,0,0,0,0,CHO,[M+Cl]-,766.7052939,-0.330175388,-1
801.6825262,47,94,9,0,0,0,0,0,CHO,[M-H]-,802.6898026,-0.02246504,-1
801.6941236,0,0,0,0,0,0,0,0,,[M-H]-,802.7014,0,-1
802.3838932,0,0,0,0,0,0,0,0,,[M-H]-,803.3911697,0,-1
802.4230757,40,66,13,0,1,0,0,0,CHO,[M+Cl]-,767.4536744,0.029510318,-1
802.4534197,0,0,0,0,0,0,0,0,,[M-H]-,803.4606961,0,-1
802.5110333,46,74,8,0,1,0,0,0,CHO,[M+Cl]-,767.541632,0.12006253,-1
802.5240979,43,77,10,1,0,0,0,0,CHON,[M+Cl]-,767.5546966,0.066535501,-1
802.5420449,0,0,0,0,0,0,0,0,,[M-H]-,803.5493214,0,-1
802.5474971,47,78,7,0,1,0,0,0,CHO,[M+Cl]-,767.5780958,0.018087672,-1
802.5528546,0,0,0,0,0,0,0,0,,[M-H]-,803.5601311,0,-1
802.5605448,44,81,9,1,0,0,0,0,CHON,[M+Cl]-,767.5911435,-0.013418166,-1
802.5686859,44,82,9,0,1,0,0,0,CHO,[M+Cl]-,767.5992846,-0.059314171,-1
802.5837744,48,82,6,0,1,0,0,0,CHO,[M+Cl]-,767.6143731,0.159082854,-1
802.5969659,45,85,8,1,0,0,0,0,CHON,[M+Cl]-,767.6275646,-0.059754218,-1
802.6051223,45,86,8,0,1,0,0,0,CHO,[M+Cl]-,767.635721,-0.125578868,-1
802.6333837,46,89,7,1,0,0,0,0,CHON,[M+Cl]-,767.6639825,-0.101917388,-1
802.641476,46,90,7,0,1,0,0,0,CHO,[M+Cl]-,767.6720747,-0.084239343,-1
802.6504342,0,0,0,0,0,0,0,0,,[M-H]-,803.6577107,0,-1
802.6600246,0,0,0,0,0,0,0,0,,[M-H]-,803.6673011,0,-1
802.6646355,0,0,0,0,0,0,0,0,,[M-H]-,803.671912,0,-1
802.6696884,47,93,6,1,0,0,0,0,CHON,[M+Cl]-,767.7002871,0.003376698,-1
802.6874831,0,0,0,0,0,0,0,0,,[M-H]-,803.6947596,0,-1
802.7008245,0,0,0,0,0,0,0,0,,[M-H]-,803.708101,0,-1
802.7061566,48,97,5,1,0,0,0,0,CHON,[M+Cl]-,767.7367553,-0.104302678,-1
803.2628361,0,0,0,0,0,0,0,0,,[M-H]-,804.2701126,0,-1
803.383734,0,0,0,0,0,0,0,0,,[M-H]-,804.3910105,0,-1
803.401218,0,0,0,0,0,0,0,0,,[M-H]-,804.4084945,0,-1
803.416837,0,0,0,0,0,0,0,0,,[M-H]-,804.4241135,0,-1
803.450377,44,69,11,0,0,0,1,0,CHOP,[M-H]-,804.4576535,0.119462674,-1
803.4869988,46,72,9,0,0,0,0,0,CHO,[M+Cl]-,768.5175975,0.047397792,-1
803.5081695,43,76,11,0,0,0,0,0,CHO,[M+Cl]-,768.5387682,-0.006359091,-1
803.514924,0,0,0,0,0,0,0,0,,[M-H]-,804.5222004,0,-1
803.5233426,47,76,8,0,0,0,0,0,CHO,[M+Cl]-,768.5539414,0.10156299,-1
803.5295329,0,0,0,0,0,0,0,0,,[M-H]-,804.5368094,0,-1
803.544191,43,81,11,0,0,0,1,0,CHOP,[M-H]-,804.5514675,0.226773043,-1
803.5470189,50,76,8,0,0,0,0,0,CHO,[M-H]-,804.5542954,-0.343027595,-1
803.5597747,48,80,7,0,0,0,0,0,CHO,[M+Cl]-,768.5903734,0.040967586,-1
803.5674499,0,0,0,0,0,0,0,0,,[M-H]-,804.5747264,0,-1
803.5809431,45,84,9,0,0,0,0,0,CHO,[M+Cl]-,768.6115418,-0.009791625,-1
803.5959746,49,84,6,0,0,0,0,0,CHO,[M+Cl]-,768.6265733,0.282475001,-1
803.6043514,48,84,9,0,0,0,0,0,CHO,[M-H]-,804.6116279,-0.116288523,-1
803.6173417,46,88,8,0,0,0,0,0,CHO,[M+Cl]-,768.6479404,-0.026794223,-1
803.6335549,0,0,0,0,0,0,0,0,,[M-H]-,804.6408313,0,-1
803.6408384,49,88,8,0,0,0,0,0,CHO,[M-H]-,804.6481148,-0.242387204,-1
803.6538874,47,92,7,0,0,0,0,0,CHO,[M+Cl]-,768.6844861,-0.235160977,-1
