"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C33H50O14","protein","aliphatic","aliphatic",0.0769,-0.6667,1.52,0.42,-5,9,-0.1515
"C37H50O11","lignin","unsaturated/lignin","unsaturated/lignin",0.2381,-0.7568,1.35,0.3,2,13,0.0541
"C45H51O1S1P1","unsaturated_hydrocarbon","unsaturated/lignin","unsaturated/lignin",0.4353,-1.0444,1.13,0.02,18,21,0.4
"C34H54O13","protein","aliphatic","aliphatic",0.0545,-0.8235,1.59,0.38,-5,8,-0.1471
"C36H58O9","lipid","aliphatic","aliphatic",0.1111,-1.1111,1.61,0.25,-1,8,-0.0278
"C35H58O12","protein","aliphatic","aliphatic",0.0345,-0.9714,1.66,0.34,-5,7,-0.1429
"C36H62O9S1","lipid","aliphatic","aliphatic",0.0164,-1.1667,1.72,0.25,-4,6,-0.1111
"C36H62O11","protein","aliphatic","aliphatic",0.0164,-1.1111,1.72,0.31,-5,6,-0.1389
"C37H66O8S1","lipid","aliphatic","aliphatic",0,-1.2973,1.78,0.22,-4,5,-0.1081
"C37H66O10","lipid","aliphatic","aliphatic",0,-1.2432,1.78,0.27,-5,5,-0.1351
"C29H37O17N1","lignin","unsaturated/lignin","unsaturated/lignin",0.1282,0,1.28,0.59,-6,12,-0.2069
"C20H32O23S1","other","aliphatic","aliphatic",-1,0.8,1.6,1.15,-19,5,-0.95
"C32H28O14","lignin","unsaturated/lignin","unsaturated/lignin",0.48,0,0.88,0.44,5,19,0.1562
"C31H28O17","lignin","unsaturated/lignin","unsaturated/lignin",0.4222,0.1935,0.9,0.55,1,18,0.0323
"C29H36O18","lignin","unsaturated/lignin","unsaturated/lignin",0.15,0,1.24,0.62,-6,12,-0.2069
"C33H36O15","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.1818,1.09,0.45,1,16,0.0303
"C30H41O15P1","lignin","unsaturated/lignin","unsaturated/lignin",0.1163,-0.3667,1.37,0.5,-5,11,-0.1667
"C30H40O17","lignin","unsaturated/lignin","unsaturated/lignin",0.1163,-0.2,1.33,0.57,-6,11,-0.2
"C34H40O14","lignin","unsaturated/lignin","unsaturated/lignin",0.2963,-0.3529,1.18,0.41,1,15,0.0294
"C31H44O16","lignin","unsaturated/lignin","unsaturated/lignin",0.087,-0.3871,1.42,0.52,-6,10,-0.1935
"C32H48O13S1","protein","aliphatic","aliphatic",0.0612,-0.625,1.5,0.41,-5,9,-0.1562
"C32H48O15","protein","aliphatic","aliphatic",0.0612,-0.5625,1.5,0.47,-6,9,-0.1875
