"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C22H28O7","lignin","unsaturated/lignin","unsaturated/lignin",0.2973,-0.6364,1.27,0.32,2,9,0.0909
"C20H32O6","protein","aliphatic","aliphatic",0.1176,-1,1.6,0.3,-1,5,-0.05
"C19H32O9","protein","aliphatic","aliphatic",-0.0345,-0.7368,1.68,0.47,-5,4,-0.2632
"C23H32O6","lignin","unsaturated/lignin","unsaturated/lignin",0.25,-0.8696,1.39,0.26,2,8,0.087
"C21H40O7","protein","aliphatic","aliphatic",-0.0857,-1.2381,1.9,0.33,-5,2,-0.2381
"C25H40O4","lipid","aliphatic","aliphatic",0.1739,-1.28,1.6,0.16,2,6,0.08
"C22H44O6","lipid","aliphatic","lipid",-0.1053,-1.4545,2,0.27,-5,1,-0.2273
"C26H44O3","lipid","aliphatic","aliphatic",0.1429,-1.4615,1.69,0.12,2,5,0.0769
"C25H52O1","lipid","aliphatic","lipid",-0.0204,-2,2.08,0.04,-1,0,-0.04
"C20H35O5N1","lipid","aliphatic","aliphatic+N",0.0303,-1.1,1.75,0.25,-2,4,-0.1
"C21H39O4N1","lipid","aliphatic","aliphatic+N",0,-1.3333,1.86,0.19,-2,3,-0.0952
"C22H43O3N1","lipid","aliphatic","aliphatic+N",-0.0256,-1.5455,1.95,0.14,-2,2,-0.0909
"C23H47O2N1","lipid","aliphatic","lipid",-0.0476,-1.7391,2.04,0.09,-2,1,-0.087
"C20H23O7P1","lignin","unsaturated/lignin","unsaturated/lignin",0.3548,-0.45,1.15,0.35,2,10,0.1
"C24H22O6","lignin","aromatic","aromatic",0.5238,-0.4167,0.92,0.25,8,14,0.3333
"C21H26O8","lignin","unsaturated/lignin","unsaturated/lignin",0.2941,-0.4762,1.24,0.38,1,9,0.0476
"C25H26O5","lignin","unsaturated/lignin","unsaturated/lignin",0.4667,-0.64,1.04,0.2,8,13,0.32
"C22H30O7","lignin","unsaturated/lignin","unsaturated/lignin",0.2432,-0.7273,1.36,0.32,1,8,0.0455
"C23H34O6","lignin","unsaturated/lignin","unsaturated/lignin",0.2,-0.9565,1.48,0.26,1,7,0.0435
"C24H38O5","lipid","aliphatic","aliphatic",0.1628,-1.1667,1.58,0.21,1,6,0.0417
"C21H42O7","protein","aliphatic","lipid",-0.1429,-1.3333,2,0.33,-6,1,-0.2857
"C25H42O4","lipid","aliphatic","aliphatic",0.1304,-1.36,1.68,0.16,1,5,0.04
"C24H50O2","lipid","aliphatic","lipid",-0.0435,-1.9167,2.08,0.08,-2,0,-0.0833
"C21H41O4N1","lipid","aliphatic","aliphatic+N",-0.0556,-1.4286,1.95,0.19,-3,2,-0.1429
"C20H41O7N1","protein","aliphatic","lipid",-0.2258,-1.2,2.05,0.35,-7,1,-0.35
"C22H45O3N1","lipid","aliphatic","lipid",-0.0769,-1.6364,2.05,0.14,-3,1,-0.1364
"C17H24O9","lignin","unsaturated/lignin","unsaturated/lignin",0.12,-0.3529,1.41,0.53,-3,6,-0.1765
"C23H20O7","lignin","aromatic","aromatic",0.5385,-0.2609,0.87,0.3,7,14,0.3043
"C21H24O6","lignin","unsaturated/lignin","unsaturated/lignin",0.3889,-0.5714,1.14,0.29,4,10,0.1905
"C24H24O6","lignin","unsaturated/lignin","unsaturated/lignin",0.4762,-0.5,1,0.25,7,13,0.2917
"C21H28O8","lignin","unsaturated/lignin","unsaturated/lignin",0.2353,-0.5714,1.33,0.38,0,8,0
"C22H32O7","lignin","unsaturated/lignin","unsaturated/lignin",0.1892,-0.8182,1.45,0.32,0,7,0
"C19H36O7S1","protein","aliphatic","aliphatic",-0.1724,-1.0526,1.89,0.37,-6,2,-0.3158
"C23H36O6","lipid","aliphatic","aliphatic",0.15,-1.0435,1.57,0.26,0,6,0
"C23H48O3","lipid","aliphatic","lipid",-0.0698,-1.8261,2.09,0.13,-3,0,-0.1304
"C26H48O3","lipid","aliphatic","aliphatic",0.0612,-1.6154,1.85,0.12,0,3,0
"C18H31O7N1","protein","aliphatic","aliphatic+N",-0.037,-0.7778,1.72,0.39,-4,4,-0.2222
"C20H39O5N1","lipid","aliphatic","aliphatic+N",-0.0909,-1.3,1.95,0.25,-4,2,-0.2
"C21H43O4N1","lipid","aliphatic","lipid",-0.1111,-1.5238,2.05,0.19,-4,1,-0.1905
"C17H26O9","protein","aliphatic","aliphatic",0.04,-0.4706,1.53,0.53,-4,5,-0.2353
"C20H26O9","lignin","unsaturated/lignin","unsaturated/lignin",0.2258,-0.4,1.3,0.45,-1,8,-0.05
"C24H26O6","lignin","unsaturated/lignin","unsaturated/lignin",0.4286,-0.5833,1.08,0.25,6,12,0.25
"C21H30O8","lignin","unsaturated/lignin","unsaturated/lignin",0.1765,-0.6667,1.43,0.38,-1,7,-0.0476
"C25H30O5","lignin","unsaturated/lignin","unsaturated/lignin",0.3778,-0.8,1.2,0.2,6,11,0.24
"C23H34O4","lignin","unsaturated/lignin","unsaturated/lignin",0.2381,-1.1304,1.48,0.17,3,7,0.1304
"C22H34O7","protein","aliphatic","aliphatic",0.1351,-0.9091,1.55,0.32,-1,6,-0.0455
"C24H38O3","lipid","aliphatic","aliphatic",0.2,-1.3333,1.58,0.12,3,6,0.125
